,rank_val_score,mean_val_score,std_val_score,mean_train_score,std_train_score,activation,batch_size,epochs,neurons_layer_1,neurons_layer_2,neurons_layer_3,dropout_1,dropout_2,learning_rate,dropout_3,neurons_layer_4,kernel_size,mean_fit_time
6,50,-0.6487091779708862,0.006338969236088596,-0.6671878695487976,0.0030275288845073665,relu,128,20,256,128,64,0.5,0.5,0.0001,0.3,32,26,221.01839590072632
42,51,-0.6484450896581014,0.0027701132104565305,-0.6613954305648804,0.0026942204864409815,relu,256,20,256,128,64,0.5,0.5,0.0001,0.3,32,26,241.89076606432596
34,52,-0.6479604442914327,0.0022981901133168146,-0.6666372021039327,0.00639458516711901,relu,128,20,256,128,64,0.5,0.3,0.001,0.1,32,26,230.77068519592285
16,53,-0.6467714111010233,0.0042946772903433815,-0.6642143328984579,0.00994098567059465,relu,128,20,256,128,64,0.5,0.5,0.001,0.1,32,26,237.35485998789468
69,54,-0.6466830770174662,0.004219342023020027,-0.6640603144963583,0.004129381160362139,relu,256,20,256,128,64,0.5,0.3,0.0001,0.1,32,26,223.29974420865378
24,55,-0.6458905537923177,0.005822731084428149,-0.6627387801806132,0.005914542101102624,relu,128,20,256,128,64,0.5,0.3,0.0001,0.3,32,26,248.21995250384012
60,56,-0.6391515731811523,0.01396371997339739,-0.6549196441968282,0.01979869086258559,relu,256,20,256,128,64,0.5,0.3,0.0001,0.3,32,26,223.79813917477927
70,57,-0.6375645995140076,0.02299195989207744,-0.6536651055018107,0.02565719471213566,relu,256,20,256,128,64,0.5,0.3,0.001,0.1,32,26,215.0353318055471
25,58,-0.6371683478355408,0.01091397777902709,-0.6535107294718424,0.018001393400042403,relu,128,20,256,128,64,0.5,0.3,0.001,0.3,32,26,238.66702898343405
38,59,-0.6344358325004578,0.05184467181266312,-0.6573217709859213,0.06856167859211292,relu,256,20,256,128,64,0.5,0.5,0.01,0.3,32,5,274.60259771347046
52,60,-0.6318398316701254,0.020269040816152835,-0.6465502182642618,0.02422691054819589,relu,256,20,256,128,64,0.5,0.5,0.001,0.1,32,26,203.5679930051168
7,61,-0.6251419186592102,0.045404068981958354,-0.6324559648831686,0.05069941875264302,relu,128,20,256,128,64,0.5,0.5,0.001,0.3,32,26,229.0713371435801
65,62,-0.6191503008206686,0.0707491670691246,-0.6593701044718424,0.0759586850020195,relu,256,20,256,128,64,0.5,0.3,0.01,0.1,32,5,273.3310550053914
